trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
5650,False,"{'a': 0.6, 'e': 0.05930865682943872}",25,7,32.00175012567969,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5651,False,"{'a': 0.6, 'e': 0.05927900991337068}",25,18,14.382328797584279,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5652,False,"{'a': 0.6, 'e': 0.0592493778170554}",20,3,1.9250448821816457,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
5653,False,"{'a': 0.6, 'e': 0.059219760533084885}",20,3,25.62807750867915,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
5654,False,"{'a': 0.6, 'e': 0.05919015805405483}",25,16,20.85065795660771,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5655,False,"{'a': 0.6, 'e': 0.05916057037256458}",20,11,3.39366919197662,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
5656,False,"{'a': 0.6, 'e': 0.05913099748121725}",20,16,5.923259971168885,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5657,False,"{'a': 0.6, 'e': 0.05910143937261957}",25,17,14.594560736059671,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5658,False,"{'a': 0.6, 'e': 0.05907189603938205}",25,17,13.12422344848691,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5659,False,"{'a': 0.6, 'e': 0.05904236747411887}",25,11,26.97209689139828,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5660,False,"{'a': 0.6, 'e': 0.05901285366944784}",25,18,12.303624441094119,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5661,False,"{'a': 0.6, 'e': 0.058983354617990535}",25,17,18.132998922648746,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5662,False,"{'a': 0.6, 'e': 0.05895387031237222}",25,6,31.127289679158643,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5663,False,"{'a': 0.6, 'e': 0.058924400745221754}",20,11,17.539702764324577,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5664,False,"{'a': 0.6, 'e': 0.05889494590917182}",25,17,16.00942167632774,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5665,False,"{'a': 0.6, 'e': 0.05886550579685863}",25,16,17.294970266566253,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5666,False,"{'a': 0.6, 'e': 0.05883608040092221}",20,5,13.181601374667357,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
5667,False,"{'a': 0.6, 'e': 0.058806669714006214}",25,19,11.799281427411675,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5668,False,"{'a': 0.6, 'e': 0.058777273728757934}",20,8,22.76260400054408,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5669,False,"{'a': 0.6, 'e': 0.05874789243782839}",20,4,24.438479801905515,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5670,False,"{'a': 0.6, 'e': 0.058718525833872284}",25,16,19.4656611491176,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5671,False,"{'a': 0.6, 'e': 0.05868917390954791}",20,6,25.47309239641415,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
